№,Время,Состояние,Название
0,0.0000,1,Ясно
1,0.2700,2,Облачно
2,1.5385,1,Ясно
3,1.8915,2,Облачно
4,2.1778,1,Ясно
5,3.2284,2,Облачно
6,4.6236,3,Пасмурно
7,8.6201,1,Ясно
8,10.8077,2,Облачно
9,10.9310,1,Ясно
10,12.6537,2,Облачно
11,21.2280,1,Ясно
12,23.7871,2,Облачно
13,24.1299,3,Пасмурно
14,27.0210,1,Ясно
15,28.0652,2,Облачно
16,30.9574,1,Ясно
17,34.3638,2,Облачно
18,36.3627,3,Пасмурно
19,38.4693,2,Облачно
20,41.2719,3,Пасмурно
21,42.7499,2,Облачно
22,43.2548,3,Пасмурно
23,44.5528,2,Облачно
24,45.1738,3,Пасмурно
25,49.5634,1,Ясно
26,51.4296,2,Облачно
27,53.0354,1,Ясно
28,53.5978,3,Пасмурно
29,53.7720,1,Ясно
30,55.0226,2,Облачно
31,57.1968,3,Пасмурно
32,61.9125,1,Ясно
33,63.2844,2,Облачно
34,67.4623,3,Пасмурно
35,68.4215,1,Ясно
36,72.6303,2,Облачно
37,73.9390,3,Пасмурно
38,75.3476,2,Облачно
39,76.6987,1,Ясно
40,82.8618,2,Облачно
41,83.0101,3,Пасмурно
42,84.8208,2,Облачно
43,85.8447,3,Пасмурно
44,86.1803,2,Облачно
45,86.8731,1,Ясно
46,87.4553,2,Облачно
47,92.8896,3,Пасмурно
48,93.4815,1,Ясно
49,95.1502,2,Облачно
50,98.4756,3,Пасмурно
51,105.3717,2,Облачно
52,106.5932,1,Ясно
53,106.7912,2,Облачно
54,108.6165,3,Пасмурно
55,109.5761,2,Облачно
56,109.9637,3,Пасмурно
57,115.5543,2,Облачно
58,117.2753,1,Ясно
59,119.5511,2,Облачно
60,119.6161,1,Ясно
61,120.1281,2,Облачно
62,121.6779,3,Пасмурно
63,122.0111,1,Ясно
64,123.3786,3,Пасмурно
65,124.4401,2,Облачно
66,126.2634,3,Пасмурно
67,127.6548,2,Облачно
68,128.3964,1,Ясно
69,128.6644,2,Облачно
70,129.7178,3,Пасмурно
71,130.9183,2,Облачно
72,133.6443,3,Пасмурно
73,138.5095,1,Ясно
74,140.8686,2,Облачно
75,141.8643,3,Пасмурно
76,141.8945,2,Облачно
77,145.7238,1,Ясно
78,146.1450,2,Облачно
79,146.3747,3,Пасмурно
80,148.6119,1,Ясно
81,158.9225,2,Облачно
82,159.0493,3,Пасмурно
83,159.4138,2,Облачно
84,161.6074,3,Пасмурно
85,162.7274,1,Ясно
86,163.1577,2,Облачно
87,163.6836,3,Пасмурно
88,173.0144,2,Облачно
89,178.2302,3,Пасмурно
90,178.9909,2,Облачно
91,179.0024,3,Пасмурно
92,193.2080,2,Облачно
93,193.6566,3,Пасмурно
94,193.8276,2,Облачно
95,194.2460,3,Пасмурно
96,200.2535,1,Ясно
97,202.8836,3,Пасмурно
98,209.9761,2,Облачно
99,213.1463,3,Пасмурно
100,214.6259,2,Облачно
101,215.0671,1,Ясно
102,215.2827,2,Облачно
103,215.4207,3,Пасмурно
104,219.9174,1,Ясно
105,222.5000,2,Облачно
106,223.1212,1,Ясно
107,223.2352,2,Облачно
108,226.6868,1,Ясно
109,227.8079,2,Облачно
110,239.2610,1,Ясно
111,245.2247,2,Облачно
112,247.6835,3,Пасмурно
113,256.5385,2,Облачно
114,258.4616,1,Ясно
115,260.3134,3,Пасмурно
116,264.5621,2,Облачно
117,264.5942,1,Ясно
118,264.7255,2,Облачно
119,265.6646,3,Пасмурно
120,272.4639,2,Облачно
121,274.1805,3,Пасмурно
122,279.5109,2,Облачно
123,280.2966,3,Пасмурно
124,281.6066,1,Ясно
125,288.7929,3,Пасмурно
126,290.1236,2,Облачно
127,294.1937,1,Ясно
128,295.4330,2,Облачно
129,299.4234,1,Ясно
130,306.8982,2,Облачно
131,307.3649,3,Пасмурно
132,308.2948,2,Облачно
133,312.9786,3,Пасмурно
134,314.1933,1,Ясно
135,315.2522,2,Облачно
136,315.9587,1,Ясно
137,316.9658,2,Облачно
138,317.6475,1,Ясно
139,324.5112,2,Облачно
140,329.8336,3,Пасмурно
141,330.0018,2,Облачно
142,331.3640,3,Пасмурно
143,339.4736,2,Облачно
144,340.5853,3,Пасмурно
145,347.0947,2,Облачно
146,347.7249,1,Ясно
147,348.2129,2,Облачно
148,351.1599,1,Ясно
149,357.8069,2,Облачно
150,358.4339,1,Ясно
151,358.4779,2,Облачно
152,359.0756,1,Ясно
153,363.9229,2,Облачно
