№,Время,Состояние,Название
0,0.0000,1,Ясно
1,0.3999,2,Облачно
2,4.7001,1,Ясно
3,5.4228,3,Пасмурно
4,5.8706,1,Ясно
5,18.3094,2,Облачно
6,20.0513,3,Пасмурно
7,20.5130,1,Ясно
8,22.3201,2,Облачно
9,25.7432,3,Пасмурно
10,26.0644,1,Ясно
11,27.8221,2,Облачно
12,29.9913,3,Пасмурно
13,31.1659,2,Облачно
14,32.0124,1,Ясно
15,32.7242,2,Облачно
16,34.6538,1,Ясно
17,35.2116,3,Пасмурно
18,35.2425,1,Ясно
19,36.1027,2,Облачно
20,36.7510,1,Ясно
21,37.6164,3,Пасмурно
22,37.9921,1,Ясно
23,40.0528,2,Облачно
24,43.9953,1,Ясно
25,46.9884,3,Пасмурно
26,47.7108,1,Ясно
27,51.1816,3,Пасмурно
28,52.1056,1,Ясно
29,53.4507,2,Облачно
30,54.1169,1,Ясно
31,54.6047,3,Пасмурно
32,55.1182,1,Ясно
33,55.1492,3,Пасмурно
34,55.4396,1,Ясно
35,57.7316,2,Облачно
36,57.9530,1,Ясно
37,58.2057,2,Облачно
38,61.1741,3,Пасмурно
39,62.0461,1,Ясно
40,65.8083,3,Пасмурно
41,67.7131,1,Ясно
42,68.2081,2,Облачно
43,70.3721,3,Пасмурно
44,71.3139,2,Облачно
45,71.4163,3,Пасмурно
46,71.6040,1,Ясно
47,72.1826,2,Облачно
48,73.7625,3,Пасмурно
49,74.0339,1,Ясно
50,75.8091,3,Пасмурно
51,75.8295,1,Ясно
52,76.5061,2,Облачно
53,77.6367,1,Ясно
54,80.9791,2,Облачно
55,83.1638,3,Пасмурно
56,84.1616,2,Облачно
57,87.2549,3,Пасмурно
58,87.7650,1,Ясно
59,88.2651,3,Пасмурно
60,88.3372,1,Ясно
61,92.3681,2,Облачно
62,94.4356,3,Пасмурно
63,94.7263,1,Ясно
64,95.7020,3,Пасмурно
65,97.2932,1,Ясно
66,97.4221,3,Пасмурно
67,100.9120,1,Ясно
68,101.1183,2,Облачно
69,101.1373,3,Пасмурно
70,102.7775,1,Ясно
71,109.6073,2,Облачно
72,109.7254,3,Пасмурно
73,111.3947,1,Ясно
74,118.9593,2,Облачно
75,119.2858,3,Пасмурно
76,120.6459,1,Ясно
77,122.1862,2,Облачно
78,123.8575,1,Ясно
79,124.3906,2,Облачно
80,127.8124,3,Пасмурно
81,128.0667,1,Ясно
82,135.5646,2,Облачно
83,137.6282,3,Пасмурно
84,138.0184,2,Облачно
85,140.5829,1,Ясно
86,142.9293,2,Облачно
87,146.1699,3,Пасмурно
88,147.5433,1,Ясно
89,150.2621,2,Облачно
90,150.3672,3,Пасмурно
91,150.7318,2,Облачно
92,151.9667,3,Пасмурно
93,152.3135,1,Ясно
94,152.5781,3,Пасмурно
95,152.7497,1,Ясно
96,156.5008,2,Облачно
97,157.2753,1,Ясно
98,160.4349,3,Пасмурно
99,160.5249,1,Ясно
100,160.6802,2,Облачно
101,161.3662,3,Пасмурно
102,161.4432,2,Облачно
103,163.6721,3,Пасмурно
104,166.2308,1,Ясно
105,166.9896,2,Облачно
106,171.5141,1,Ясно
107,178.3076,2,Облачно
108,178.6701,1,Ясно
109,180.4405,2,Облачно
110,184.3777,1,Ясно
111,185.1246,3,Пасмурно
112,185.5322,1,Ясно
113,190.3041,2,Облачно
114,190.8673,1,Ясно
115,197.1879,3,Пасмурно
116,197.6147,1,Ясно
117,199.2130,2,Облачно
118,199.4020,1,Ясно
119,201.1554,2,Облачно
120,203.6028,3,Пасмурно
121,206.4735,1,Ясно
122,206.8772,2,Облачно
123,209.7545,3,Пасмурно
124,210.8139,1,Ясно
125,211.9245,2,Облачно
126,212.0237,3,Пасмурно
127,213.1614,1,Ясно
128,218.0854,2,Облачно
129,220.8184,3,Пасмурно
130,220.8198,1,Ясно
131,221.7714,2,Облачно
132,223.7551,3,Пасмурно
133,223.8087,1,Ясно
134,228.4875,2,Облачно
135,233.9719,3,Пасмурно
136,234.2413,1,Ясно
137,236.0685,2,Облачно
138,236.4547,3,Пасмурно
139,237.9300,1,Ясно
140,240.4221,2,Облачно
141,241.0804,1,Ясно
142,241.2391,3,Пасмурно
143,241.7621,1,Ясно
144,245.3270,3,Пасмурно
145,246.6701,1,Ясно
146,247.5890,2,Облачно
147,247.6151,3,Пасмурно
148,249.3115,1,Ясно
149,251.8179,3,Пасмурно
150,252.2824,1,Ясно
151,253.6928,3,Пасмурно
152,253.7810,1,Ясно
153,255.6832,2,Облачно
154,258.9985,1,Ясно
155,261.3435,3,Пасмурно
156,262.2100,1,Ясно
157,265.1083,2,Облачно
158,265.7069,1,Ясно
159,265.7983,2,Облачно
160,266.4509,3,Пасмурно
161,266.4523,1,Ясно
162,267.4064,2,Облачно
163,268.1994,3,Пасмурно
164,268.8191,1,Ясно
165,272.6326,3,Пасмурно
166,273.4090,1,Ясно
167,273.4436,2,Облачно
168,273.4914,3,Пасмурно
169,273.5654,1,Ясно
170,274.3751,3,Пасмурно
171,275.6254,1,Ясно
172,279.3592,2,Облачно
173,279.3595,1,Ясно
174,279.6862,2,Облачно
175,280.1203,1,Ясно
176,282.5996,2,Облачно
177,282.9062,1,Ясно
178,284.1546,2,Облачно
179,286.5387,3,Пасмурно
180,288.3465,1,Ясно
181,288.9444,3,Пасмурно
182,290.6766,1,Ясно
183,291.1076,2,Облачно
184,291.5030,3,Пасмурно
185,291.9272,1,Ясно
186,292.2442,3,Пасмурно
187,292.2822,2,Облачно
188,293.9234,1,Ясно
189,294.7730,2,Облачно
190,295.9372,3,Пасмурно
191,297.1349,1,Ясно
192,298.6012,2,Облачно
193,299.5528,1,Ясно
194,305.0843,2,Облачно
195,305.7456,3,Пасмурно
196,307.2973,1,Ясно
197,311.0681,2,Облачно
198,312.8740,1,Ясно
199,312.8855,2,Облачно
200,317.1740,3,Пасмурно
201,319.4284,1,Ясно
202,319.9827,2,Облачно
203,322.3597,1,Ясно
204,328.9608,2,Облачно
205,330.0890,1,Ясно
206,334.0602,2,Облачно
207,335.7213,3,Пасмурно
208,335.9860,1,Ясно
209,336.7072,2,Облачно
210,337.3205,1,Ясно
211,340.5865,2,Облачно
212,340.6982,3,Пасмурно
213,341.6070,1,Ясно
214,344.3222,2,Облачно
215,348.4636,3,Пасмурно
216,349.1027,2,Облачно
217,349.2538,3,Пасмурно
218,350.0361,1,Ясно
219,355.5749,2,Облачно
220,356.1975,1,Ясно
221,356.2629,3,Пасмурно
222,357.9902,1,Ясно
223,359.1236,2,Облачно
224,360.8069,3,Пасмурно
225,361.4200,1,Ясно
226,361.6074,2,Облачно
227,363.4399,1,Ясно
